scenario,num_uavs,seed,episode,episode_coverage,episode_conflict_sim,episode_conflict_recomputed_120,conflict_events_120,pair_steps,episode_path,corrections,uav_steps,accepted,cva,fallback_nearest,raw_released,max_empty_streak,n_empty_streaks_ge2
plain,6,45,8,100.0,0.0,0.0,0,330,17780.6875,0,210,132,0,0,0,0,0
plain,6,45,9,100.0,0.0,0.0,0,390,20383.76171875,0,210,156,0,0,0,0,0
plain,6,45,10,100.0,0.0,0.0,0,345,17926.083984375,0,210,138,0,0,0,0,0
plain,6,45,11,100.0,0.0,0.0,0,495,25543.146484375,0,210,198,0,0,0,0,0
plain,6,46,0,100.0,0.0,0.0,0,360,18848.8203125,0,210,144,0,0,0,0,0
plain,6,46,1,100.0,0.0,0.0,0,300,15703.6611328125,8,210,112,8,0,0,0,0
plain,6,46,2,100.0,0.0,0.0,0,330,17196.1171875,0,210,132,0,0,0,0,0
plain,6,46,3,100.0,0.0,0.0,0,315,16296.6201171875,8,210,118,6,2,0,1,0
plain,6,46,4,97.14285714285714,0.0,0.0,0,525,26777.3125,0,210,210,0,0,0,0,0
plain,6,46,5,100.0,0.0,0.0,0,360,18803.9296875,10,210,134,10,0,0,0,0
plain,6,46,6,100.0,0.0,0.0,0,300,16061.0654296875,0,210,120,0,0,0,0,0
plain,6,46,7,100.0,0.0,0.0,0,255,13354.9560546875,0,210,102,0,0,0,0,0
plain,6,46,8,100.0,0.0,0.0,0,375,19596.794921875,2,210,148,2,0,0,0,0
plain,6,46,9,100.0,0.0,0.0,0,480,24875.2265625,2,210,190,0,2,0,1,0
plain,6,46,10,98.33333333333333,0.0,0.0,0,525,27067.37890625,0,210,210,0,0,0,0,0
plain,6,46,11,100.0,0.0,0.0,0,255,13348.3564453125,0,210,102,0,0,0,0,0
plain,8,42,0,100.0,0.0,0.0,0,532,19869.01953125,0,280,152,0,0,0,0,0
plain,8,42,1,100.0,0.0,0.0,0,868,31918.234375,10,280,238,8,2,0,1,0
plain,8,42,2,100.0,0.0,0.0,0,616,22637.07421875,2,280,174,0,2,0,1,0
plain,8,42,3,100.0,0.0,0.0,0,672,24829.0546875,2,280,190,2,0,0,0,0
plain,8,42,4,100.0,0.0,0.0,0,504,19118.705078125,0,280,144,0,0,0,0,0
plain,8,42,5,100.0,0.0,0.0,0,448,16658.52734375,0,280,128,0,0,0,0,0
plain,8,42,6,100.0,0.0,0.0,0,336,12714.171875,0,280,96,0,0,0,0,0
plain,8,42,7,100.0,0.0,0.0,0,420,15859.921875,0,280,120,0,0,0,0,0
plain,8,42,8,100.0,0.0,0.0,0,448,16720.1015625,0,280,128,0,0,0,0,0
plain,8,42,9,100.0,0.0,0.0,0,672,25073.671875,0,280,192,0,0,0,0,0
plain,8,42,10,100.0,0.0,0.0,0,280,10706.41015625,2,280,78,2,0,0,0,0
plain,8,42,11,100.0,0.0,0.0,0,504,18982.4765625,4,280,140,4,0,0,0,0
plain,8,43,0,100.0,0.0,0.0,0,588,21651.80078125,0,280,168,0,0,0,0,0
plain,8,43,1,100.0,0.0,0.0,0,756,27856.3359375,6,280,210,6,0,0,0,0
plain,8,43,2,100.0,0.0,0.0,0,364,13797.40625,0,280,104,0,0,0,0,0
plain,8,43,3,100.0,0.0,0.0,0,560,20692.66796875,12,280,148,8,4,0,2,2
plain,8,43,4,100.0,0.0,0.0,0,392,14880.75,0,280,112,0,0,0,0,0
plain,8,43,5,100.0,0.0,0.0,0,476,17803.453125,0,280,136,0,0,0,0,0
plain,8,43,6,100.0,0.0,0.0,0,448,16875.201171875,0,280,128,0,0,0,0,0
plain,8,43,7,100.0,0.0,0.0,0,532,20163.181640625,0,280,152,0,0,0,0,0
plain,8,43,8,96.66666666666667,0.0,0.0,0,980,35942.6640625,6,280,274,6,0,0,0,0
plain,8,43,9,100.0,0.0,0.0,0,420,15966.716796875,1,280,118,0,1,1,1,0
plain,8,43,10,100.0,0.0,0.0,0,644,23696.23828125,6,280,178,6,0,0,0,0
plain,8,43,11,100.0,0.0,0.0,0,504,18800.228515625,0,280,144,0,0,0,0,0
plain,8,44,0,100.0,0.0,0.0,0,336,12817.763671875,0,280,96,0,0,0,0,0
